run_id,timestamp,bench,device,test_name,signal,value,lower_bound,upper_bound,duration_ms,temperature_c,supply_v
R0000,2026-08-25T17:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.339761,3.2,3.4,21.762,85.0,3.3
R0000,2026-08-25T17:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,3.131827,0.0,8.0,29.791,85.0,3.3
R0000,2026-08-25T17:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,3.12767,2.6,3.45,16.735,85.0,3.3
R0001,2026-08-25T18:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.321985,3.2,3.4,21.111,25.0,3.3
R0001,2026-08-25T18:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,4.44292,0.0,8.0,39.509,25.0,3.3
R0001,2026-08-25T18:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,3.148051,2.6,3.45,14.563,25.0,3.3
R0002,2026-08-25T19:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.306961,3.2,3.4,17.8,25.0,3.0
R0002,2026-08-25T19:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,4.699839,0.0,8.0,32.276,25.0,3.0
R0002,2026-08-25T19:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,2.983352,2.6,3.45,17.382,25.0,3.0
R0003,2026-08-25T20:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.319308,3.2,3.4,19.462,85.0,3.0
R0003,2026-08-25T20:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,5.088276,0.0,8.0,36.723,85.0,3.0
R0003,2026-08-25T20:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,3.038499,2.6,3.45,16.374,85.0,3.0
R0004,2026-08-25T21:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.315399,3.2,3.4,22.516,25.0,3.3
R0004,2026-08-25T21:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,4.325934,0.0,8.0,31.639,25.0,3.3
R0004,2026-08-25T21:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,3.070531,2.6,3.45,20.602,25.0,3.3
R0005,2026-08-25T22:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.28572,3.2,3.4,20.173,25.0,3.6
R0005,2026-08-25T22:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,3.547419,0.0,8.0,35.929,25.0,3.6
R0005,2026-08-25T22:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,3.337001,2.6,3.45,18.875,25.0,3.6
R0006,2026-08-25T23:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.322973,3.2,3.4,18.27,85.0,3.0
R0006,2026-08-25T23:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,5.007928,0.0,8.0,37.525,85.0,3.0
R0006,2026-08-25T23:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,2.822571,2.6,3.45,16.721,85.0,3.0
R0007,2026-08-26T00:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.293121,3.2,3.4,23.98,25.0,3.3
R0007,2026-08-26T00:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,3.83721,0.0,8.0,38.873,25.0,3.3
R0007,2026-08-26T00:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,3.019028,2.6,3.45,16.66,25.0,3.3
R0008,2026-08-26T01:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.317781,3.2,3.4,21.173,25.0,3.3
R0008,2026-08-26T01:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,4.173329,0.0,8.0,33.151,25.0,3.3
R0008,2026-08-26T01:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,3.171479,2.6,3.45,17.235,25.0,3.3
R0009,2026-08-26T02:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.298014,3.2,3.4,19.989,85.0,3.3
